SMERGE,Date,PageName,LAI,Albedo,NDVI,Clay,Sand,Silt ,Slope,Elevation,Ascept
212.2,4/21/2012,A2,7.0,130.0,153.0,13.6975,62.3835,23.919,3.843668222,527.0,119.7448807
212.2,4/21/2012,A3,7.0,130.0,153.0,13.6975,62.3835,23.919,2.719923258,526.0,105.2551193
212.2,4/21/2012,A4,7.0,130.0,153.0,21.74416667,24.04261111,54.21322222,2.528733651,525.3333333,102.6249924
212.2,4/21/2012,A5,7.0,130.0,152.0,22.75,19.25,58.0,2.060371876,524.0,99.72001648
212.2,4/21/2012,A6,7.0,130.0,151.0,22.75,19.25,58.0,1.443350355,523.0,95.42006938
212.2,4/21/2012,A7,7.0,130.0,151.0,22.75,19.25,58.0,0.954841256,523.0,90.0
212.2,4/21/2012,A8,7.0,130.0,151.0,22.75,19.25,58.0,0.477453768,522.0,90.0
212.2,4/21/2012,A9,7.0,130.0,151.0,22.75,19.25,58.0,0.477453768,522.0,90.0
212.2,4/21/2012,A10,7.0,130.0,151.0,22.75,19.25,58.0,0.716147512,522.0,90.0
212.2,4/21/2012,A11,7.0,130.0,151.0,22.75,19.25,58.0,0.795712094,521.6666667,90.0
212.2,4/21/2012,A12,7.0,130.0,151.0,22.75,19.25,58.0,0.477453768,521.0,90.0
212.2,4/21/2012,A13,7.0,130.0,151.0,22.75,19.25,58.0,0.0,521.0,-1.0
212.2,4/21/2012,A14,7.0,130.0,151.0,22.75,19.25,58.0,0.0,521.0,-1.0
212.2,4/21/2012,A15,7.0,130.0,149.0,22.75,19.25,58.0,0.377447248,521.0,35.28252411
212.2,4/21/2012,A16,6.777777777777777,127.7777777777778,145.0,22.75,19.25,58.0,0.615801235,520.6666667,62.71003215
212.2,4/21/2012,A17,5.333333333333334,113.33333333333331,145.0,22.75,19.25,58.0,0.337614715,520.0,45.0
212.2,4/21/2012,A18,5.0,110.0,145.0,22.75,19.25,58.0,0.754894495,521.0,251.5650482
212.2,4/21/2012,A19,5.0,110.0,145.0,22.75,19.25,58.0,0.337614715,521.0,225.0
212.2,4/21/2012,B2,7.0,130.0,153.0,13.6975,62.3835,23.919,5.875572681,528.0,111.3706207
212.2,4/21/2012,B3,7.0,130.0,153.0,13.6975,62.3835,23.919,3.372286797,525.0,98.13010406
212.2,4/21/2012,B4,7.0,130.0,153.0,16.715,48.00566667,35.27933333,2.714725018,524.3333333,92.71003469
212.2,4/21/2012,B5,7.0,130.0,152.0,22.75,19.25,58.0,2.27336657,523.5,86.82990265
212.2,4/21/2012,B7,7.0,130.0,151.0,22.75,19.25,58.0,1.067520261,522.0,63.43494797
212.2,4/21/2012,B8,7.0,130.0,151.0,22.75,19.25,58.0,0.337614715,522.0,45.0
212.2,4/21/2012,B10,7.0,130.0,151.0,22.75,19.25,58.0,0.911207378,521.5,67.49999809
212.2,4/21/2012,B11,7.0,130.0,151.0,22.75,19.25,58.0,0.824218412,521.0,57.28996531
212.2,4/21/2012,B13,7.0,130.0,151.0,22.75,19.25,58.0,0.0,521.0,-1.0
212.2,4/21/2012,B14,7.0,130.0,151.0,22.75,19.25,58.0,0.337614715,521.0,45.0
212.2,4/21/2012,B16,5.222222222222222,112.2222222222222,145.0,22.75,19.25,58.0,0.824218412,520.6666667,147.2899653
212.2,4/21/2012,B17,5.0,110.0,145.0,22.75,19.25,58.0,0.337614715,520.0,315.0
212.2,4/21/2012,B18,5.0,110.0,145.0,22.75,19.25,58.0,0.954841256,521.0,270.0
212.2,4/21/2012,B19,5.0,110.0,145.0,22.75,19.25,58.0,0.0,521.0,-1.0
