SMERGE,Date,PageName,LAI,Albedo,NDVI,Clay,Sand,Silt ,Slope,Elevation,Ascept
198.4,9/30/2015,A1,8,117.7111111,153.636876,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
198.2,5/19/2013,A1,5,105.1222222,137.4235105,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
220.7,4/15/2015,A1,9.066666667,67.94444444,172.3969404,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
179.5,9/2/2015,A1,9.588888889,99.65555556,148.1247987,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
219.2,7/22/2015,A1,12,95.3,155.0185185,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
200.8,10/7/2015,A1,7,113.8888889,153.4235105,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
216,4/21/2013,A1,12.23333333,83.53333333,161.8961353,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
172.6,10/6/2012,A1,19,81.7,177.1127214,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
181.2,10/27/2014,A1,19.76666667,64.23333333,173.7375201,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
194.3,10/20/2013,A1,21.35555556,61.64444444,173.5426731,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
233.7,4/28/2013,A1,7,122.3,147.6006441,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
210.5,10/6/2013,A1,16.23333333,68,165.9186795,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
248.9,5/6/2015,A1,18.05555556,69.76666667,170.4621578,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
177,10/14/2015,A1,9,114.3,151.3695652,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
184.3,7/1/2015,A1,11.23333333,82.3,160.7431562,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
163.2,10/20/2012,A1,19.28888889,74.64444444,176.9975845,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
255.8,4/29/2015,A1,4.288888889,100.6555556,150.3647343,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
174,9/16/2015,A1,10.53333333,100.3555556,145.6119163,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
208.2,6/24/2015,A1,14.41111111,81.12222222,165.168277,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
238.9,6/3/2015,A1,19.46666667,73.94444444,171.1723027,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
168,4/8/2015,A1,21.82222222,64.76666667,173.2383253,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
221.1,7/15/2015,A1,10,100.6555556,147.5853462,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
159.1,6/1/2012,A1,5.588888889,110.3555556,145.8872786,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
233.1,6/6/2013,A1,11,113.0111111,153.0732689,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
189.7,6/8/2012,A1,6.177777778,108.4111111,140.3582931,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
208.6,8/5/2015,A1,9.588888889,110.8888889,156.7334944,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
247.4,6/17/2015,A1,15.41111111,81.06666667,169.1779388,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
271.9,5/20/2015,A1,14,75.12222222,171.1376812,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
233.8,8/1/2013,A1,17,85.58888889,160.4847021,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
209.5,8/19/2015,A1,8.766666667,116.1222222,153.3027375,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
179.2,10/13/2012,A1,14.41111111,68.17777778,167.4927536,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
207.9,6/13/2013,A1,6,87.76666667,154.2979066,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
209.3,5/12/2013,A1,5.766666667,121.0666667,144.5346216,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
169.2,10/28/2015,A1,7,118.7111111,151.4855072,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
216.3,5/30/2013,A1,6,85.35555556,149.4154589,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
184.2,9/22/2012,A1,16.64444444,90.98888889,163.9903382,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
240.5,7/8/2015,A1,11.82222222,88.3,156.831723,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
238.4,4/14/2013,A1,9.233333333,83.53333333,154.8623188,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
181.2,4/1/2015,A1,25.35555556,60.17777778,173.6296296,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
165.5,9/9/2015,A1,7,100.5333333,146.763285,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
215.2,6/10/2015,A1,15.41111111,79.3,171.0112721,19.47497859,35.01455575,45.51046566,1.736653895,523.3801587,112.2323937
